subject,component,sov,cond,amplitude,is_peak
19,N350,tREM,Bl0T1,0.36983773272588,1
19,N100,tREM,Bl0T2,-0.905982385270505,1
19,P2,tREM,Bl0T2,2.47544617234143,1
19,N350,tREM,Bl0T2,-0.446657779658627,1
19,N100,tREM,Bl0T3,-0.121017820286441,1
19,P2,tREM,Bl0T3,2.56855823527472,1
19,N350,tREM,Bl0T3,0.215995646698909,1
19,N100,tREM,Bl0T4,-0.552450443490555,1
19,P2,tREM,Bl0T4,2.0361603680844,1
19,N350,tREM,Bl0T4,-1.04254452396011,1
19,N100,pREM,Bl0T1,-0.888961002476105,1
19,P2,pREM,Bl0T1,1.58781469003145,1
19,N350,pREM,Bl0T1,-0.615122363906281,1
19,N100,pREM,Bl0T2,-1.00533623914295,1
19,P2,pREM,Bl0T2,1.59943321488507,1
19,N350,pREM,Bl0T2,-0.623874843384248,1
19,N100,pREM,Bl0T3,-0.952512020860511,1
19,P2,pREM,Bl0T3,0.955007006131162,1
19,N350,pREM,Bl0T3,-0.969229387317625,1
19,N100,pREM,Bl0T4,-1.59652832283729,1
19,P2,pREM,Bl0T4,0.435444224152354,1
19,N350,pREM,Bl0T4,-1.06768655888256,1
20,N100,tREM,Bl0T1,-0.455689203323253,1
20,P2,tREM,Bl0T1,2.08462309866073,1
20,N350,tREM,Bl0T1,-1.08907267365038,1
20,N100,tREM,Bl0T2,0.296083121029172,1
20,P2,tREM,Bl0T2,1.77419252277317,1
20,N350,tREM,Bl0T2,-0.110669583831856,1
20,N100,tREM,Bl0T3,-0.316724938080695,1
20,P2,tREM,Bl0T3,1.06643066055404,1
20,N350,tREM,Bl0T3,-0.612619445397989,1
20,N100,tREM,Bl0T4,-0.577635216334099,1
20,P2,tREM,Bl0T4,0.676619704884914,1
20,N350,tREM,Bl0T4,-1.18660612555888,1
20,N100,pREM,Bl0T1,-1.14133706275149,1
20,P2,pREM,Bl0T1,1.00448307619864,1
20,N350,pREM,Bl0T1,-1.70405204676638,1
20,N100,pREM,Bl0T2,-1.51922561125098,1
20,P2,pREM,Bl0T2,0.352500839380508,1
20,N350,pREM,Bl0T2,-1.28023132858554,1
20,N100,pREM,Bl0T3,0.0917676957974959,1
20,P2,pREM,Bl0T3,1.05017395129606,1
20,N350,pREM,Bl0T3,-0.00271800874256865,1
20,N100,pREM,Bl0T4,-0.318583552889964,1
20,P2,pREM,Bl0T4,1.27480998436514,1
20,N350,pREM,Bl0T4,0.0723194075255271,1
21,N100,tREM,Bl0T1,0.568981695669086,1
21,P2,tREM,Bl0T1,2.83992621882798,1
21,N350,tREM,Bl0T1,-2.88833301563151,1
21,N100,tREM,Bl0T2,0.841386096034096,1
21,P2,tREM,Bl0T2,1.83459942058919,1
21,N350,tREM,Bl0T2,-0.717977065474002,1
21,N100,tREM,Bl0T3,1.16333399625417,1
21,P2,tREM,Bl0T3,2.71430740904973,1
21,N350,tREM,Bl0T3,-1.23999846840955,1
21,N100,tREM,Bl0T4,0.156362249965392,1
21,P2,tREM,Bl0T4,1.42883880678669,1
21,N350,tREM,Bl0T4,-0.620886545858524,1
21,N100,pREM,Bl0T1,0.104794877151293,1
21,P2,pREM,Bl0T1,1.09520547958038,1
21,N350,pREM,Bl0T1,-1.96130337567627,1
21,N100,pREM,Bl0T2,-0.498294424387658,1
21,P2,pREM,Bl0T2,0.150615934085572,1
21,N350,pREM,Bl0T2,-1.52621593455859,1
21,N100,pREM,Bl0T3,-0.595099831209786,1
21,P2,pREM,Bl0T3,1.53758924550045,1
21,N350,pREM,Bl0T3,-1.18505507944815,1
21,N100,pREM,Bl0T4,-0.23211468870975,1
21,P2,pREM,Bl0T4,1.74013808572279,1
21,N350,pREM,Bl0T4,-0.707121715794756,1
23,N100,tREM,Bl0T1,-1.31850287140008,1
23,P2,tREM,Bl0T1,0.634523492412908,1
23,N350,tREM,Bl0T1,-2.50154665668386,1
23,N100,tREM,Bl0T2,-0.838053390662528,1
23,P2,tREM,Bl0T2,0.915521854228234,1
23,N350,tREM,Bl0T2,-2.37806314873639,1
23,N100,tREM,Bl0T3,-3.6079268020147,1
23,P2,tREM,Bl0T3,0.349823809270747,0
23,N350,tREM,Bl0T3,-1.53242807261646,1
23,N100,tREM,Bl0T4,-0.647680604537018,1
23,P2,tREM,Bl0T4,1.70995746628789,1
23,N350,tREM,Bl0T4,-0.339600860178471,1
23,N100,pREM,Bl0T1,-0.600661659467479,1
23,P2,pREM,Bl0T1,1.53244063076766,1
23,N350,pREM,Bl0T1,-1.57338288384085,1
23,N100,pREM,Bl0T2,-0.772293042747387,1
23,P2,pREM,Bl0T2,0.252453342308082,1
23,N350,pREM,Bl0T2,-1.73346972229626,1
23,N100,pREM,Bl0T3,0.213607470713782,1
23,P2,pREM,Bl0T3,1.66258429964496,1
23,N350,pREM,Bl0T3,-2.09995062420088,1
23,N100,pREM,Bl0T4,-0.413381933010575,1
